email,name,regNo,dept,batch_year,password
yug.24mca@kongu.edu,Yug Peri,24MCR001,MCA,2026,17-May-2005
neel.24mca@kongu.edu,Neel Minhas,24MCR002,MCA,2026,24-Aug-2002
bahadurjit.24mca@kongu.edu,Bahadurjit Dave,24MCR003,MCA,2026,24-Oct-2003
sarthak.24mca@kongu.edu,Sarthak Jani,24MCR004,MCA,2026,14-Nov-2003
darpan.24mca@kongu.edu,Darpan Shan,24MCR005,MCA,2026,30-Jan-2004
zilmil.24mca@kongu.edu,Zilmil Pradhan,24MCR006,MCA,2026,01-May-2005
sara.24mca@kongu.edu,Sara Bir,24MCR007,MCA,2026,12-Aug-2000
isaac.24mca@kongu.edu,Isaac Pradhan,24MCR008,MCA,2026,11-May-2003
girindra.24mca@kongu.edu,Girindra Dutta,24MCR009,MCA,2026,05-Nov-2002
jeevika.24mca@kongu.edu,Jeevika Ghose,24MCR010,MCA,2026,25-Apr-2005
hemang.24mca@kongu.edu,Hemang Talwar,24MCR011,MCA,2026,08-Nov-2004
yashasvi.24mca@kongu.edu,Yashasvi Sarraf,24MCR012,MCA,2026,18-Mar-2002
bhavika.24mca@kongu.edu,Bhavika Issac,24MCR013,MCA,2026,25-Jul-2004
sachi.24mca@kongu.edu,Sachi Samra,24MCR014,MCA,2026,05-Jul-2003
naveen.24mca@kongu.edu,Naveen Bora,24MCR015,MCA,2026,14-Oct-2004
gunbir.24mca@kongu.edu,Gunbir Shanker,24MCR016,MCA,2026,01-Oct-2004
madhav.24mca@kongu.edu,Madhav Ravi,24MCR017,MCA,2026,10-Jan-2005
sai.24mca@kongu.edu,Sai Balan,24MCR018,MCA,2026,08-Jun-2003
kevin.24mca@kongu.edu,Kevin Sarma,24MCR019,MCA,2026,31-Jul-2005
ranveer.24mca@kongu.edu,Ranveer Bumb,24MCR020,MCA,2026,27-Dec-2004
rachita.24mca@kongu.edu,Rachita Kota,24MCR021,MCA,2026,26-Jan-2003
kamya.24mca@kongu.edu,Kamya Pal,24MCR022,MCA,2026,21-Feb-2003
ati.24mca@kongu.edu,Ati Konda,24MCR023,MCA,2026,05-Aug-2002
laksh.24mca@kongu.edu,Laksh Loke,24MCR024,MCA,2026,02-Jul-2004
guneet.24mca@kongu.edu,Guneet Goyal,24MCR025,MCA,2026,24-Sep-2001
abeer.24mca@kongu.edu,Abeer Tank,24MCR026,MCA,2026,02-Jul-2005
nitesh.24mca@kongu.edu,Nitesh Balan,24MCR027,MCA,2026,28-Dec-2002
inaya.24mca@kongu.edu,Inaya Arya,24MCR028,MCA,2026,15-Feb-2000
jagdish.24mca@kongu.edu,Jagdish Dash,24MCR129,MCA,2026,01-Sep-2001
urvi.24mca@kongu.edu,Urvi Parmer,24MCR030,MCA,2026,30-May-2002
anika.24mca@kongu.edu,Anika Hayre,24MCR031,MCA,2026,27-Aug-2003
anamika.24mca@kongu.edu,Anamika Mody,24MCR032,MCA,2026,06-Dec-2002
mitesh.24mca@kongu.edu,Mitesh Mammen,24MCR033,MCA,2026,03-May-2000
nimrat.24mca@kongu.edu,Nimrat Thaker,24MCR034,MCA,2026,25-Jul-2002
aachal.24mca@kongu.edu,Aachal Date,24MCR035,MCA,2026,10-Jan-2006
nirja.24mca@kongu.edu,Nirja Pall,24MCR036,MCA,2026,29-Jun-2001
zaid.24mca@kongu.edu,Zaid Oak,24MCR037,MCA,2026,18-Nov-2002
nikita.24mca@kongu.edu,Nikita Wadhwa,24MCR038,MCA,2026,03-Mar-2003
yuvraj.24mca@kongu.edu,Yuvraj Sachdeva,24MCR039,MCA,2026,25-Sep-2005
ekavir.24mca@kongu.edu,Ekavir Comar,24MCR040,MCA,2026,01-Jun-2003
ladli.24mca@kongu.edu,Ladli Char,24MCR041,MCA,2026,25-Apr-2005
anya.24mca@kongu.edu,Anya Lad,24MCR042,MCA,2026,11-May-2003
