email,name,regNo,dept,batch_year,password
student1@example.com,Student Name 1,21CSR001,EEE,2025,password123
student2@example.com,Student Name 2,21CSR002,EEE,2025,password123
student3@example.com,Student Name 3,21CSR003,AIML,2025,password123
student4@example.com,Student Name 4,21CSR004,AIDS,2025,password123
student5@example.com,Student Name 5,21CSR005,AIML,2025,password123
student6@example.com,Student Name 6,21CSR006,MECH,2025,password123
student7@example.com,Student Name 7,21CSR007,AIML,2025,password123
student8@example.com,Student Name 8,21CSR008,CIVIL,2025,password123
student9@example.com,Student Name 9,21CSR009,MECH,2025,password123
student10@example.com,Student Name 10,21CSR010,CSE,2025,password123
student11@example.com,Student Name 11,21CSR011,CIVIL,2025,password123
student12@example.com,Student Name 12,21CSR012,ECE,2025,password123
student13@example.com,Student Name 13,21CSR013,ECE,2025,password123
student14@example.com,Student Name 14,21CSR014,CSE,2025,password123
student15@example.com,Student Name 15,21CSR015,ECE,2025,password123
student16@example.com,Student Name 16,21CSR016,CIVIL,2025,password123
student17@example.com,Student Name 17,21CSR017,MECH,2025,password123
student18@example.com,Student Name 18,21CSR018,CSE,2025,password123
student19@example.com,Student Name 19,21CSR019,CSE,2025,password123
student20@example.com,Student Name 20,21CSR020,CSE,2025,password123
student21@example.com,Student Name 21,21CSR021,CIVIL,2025,password123
student22@example.com,Student Name 22,21CSR022,IT,2025,password123
student23@example.com,Student Name 23,21CSR023,MECH,2025,password123
student24@example.com,Student Name 24,21CSR024,IT,2025,password123
student25@example.com,Student Name 25,21CSR025,CSE,2025,password123
student26@example.com,Student Name 26,21CSR026,AIML,2025,password123
student27@example.com,Student Name 27,21CSR027,AIDS,2025,password123
student28@example.com,Student Name 28,21CSR028,IT,2025,password123
student29@example.com,Student Name 29,21CSR029,AIML,2025,password123
student30@example.com,Student Name 30,21CSR030,CSE,2025,password123
student31@example.com,Student Name 31,21CSR031,CIVIL,2025,password123
student32@example.com,Student Name 32,21CSR032,CSE,2025,password123
